Code,Description,Default_Translation (en-en),Target_Translation (de-de),Has_Translation
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Zufriedenheit der Mitglieder,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Gesamtzahl der Mitglieder,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Mitglieder/Benutzer,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Mitglieder mit weniger als,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Mitgliedschaft,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Alter der Mitgliedschaft,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Mitgliedschaftsausschuss,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Dauer der Mitgliedschaft,Yes
I18N_MENU,I18NCode for Menu,Menu,Speisekarte,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Menüoptionen,Yes
I18N_MENUS,I18NCode for Menus,Menus,Menüs,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Nachrichtentext,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Die Festlegung des Kapitelziels ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Die Festlegung des Landesziels ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Die Festlegung des Direktorziels ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Die Einrichtung von Chapter-Mechanismen ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Die Einrichtung von Mitgliedermechanismen ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Die Festlegung des Multi-Region-Ziels ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Die Festlegung der Ziele der Region ist ein grundlegender Schritt zum Erfolg.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Nachricht zur Ausstrahlung,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Nachrichten,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Leistungskennzahlen,Yes
I18N_MIN,I18NCode represent Min:,Min:,Min.:,Yes
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Mindestalter für die Mitgliedschaft,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,Minuten,Yes
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Beschreibung,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Modul,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Module,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Überwachen Sie den MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Aktivieren Sie die MSP-Überwachung,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Ersetzungen überwachen,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Aktivieren Sie die Überwachung von Vertretungen,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Monat für Monat,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit,Monate vom Eintritt des Partners bis zum Austritt,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/Monat/Mitglied (6 Mio.),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Einstellungen für den monatlichen Warnbericht,Yes
I18N_MONTHS,I18NCode for Months,Months,Monate,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Monate 100 Punkte,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Monate 100 Punkte,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Monate in BNI,Yes
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an den Geschäftsführer gesendet wird.<br/>",Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA – Monatlicher Warnbericht,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an jeden DC gesendet wird.<br/>",Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL – Monatlicher regionaler DC-Verkehrslichtbericht,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","Dabei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise an jedem dritten Werktag des Monats an LTs, DCs, ADs und ED gesendet wird (der ED muss festlegen, wer ihn erhält, LT, DC...).<br/>",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL – Monatliche Regionalkapitel-Ampeln,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's","Hierbei handelt es sich um einen <strong>monatlichen Bericht</strong>, der normalerweise jeden dritten Werktag des Monats an den Geschäftsführer gesendet wird.<br/>",Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP – Monatlicher regionaler Leistungsbericht,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,MSP-Monitoreinstellungen,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,Nur MSP,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Nur MSP aktivieren,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Multidurchschn,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Multiregional,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Multi-Region darf 50 Zeichen nicht überschreiten,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Bearbeiten Sie das Ziel für mehrere Regionen,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Multiregional,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Multi-Region ist erforderlich,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Mehrere Antworten,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Mehrzweck,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Das Training muss jeden Tag wiederholt werden,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,Mein Kapitel,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,Meine letzten Beiträge,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,Meine letzten Beiträge PDF,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Zuletzt erhaltene Berichte,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,Mein Profil,Yes
I18N_NAME,I18NCode for Name,Name,Name,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Name ist ein Pflichtfeld,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Nettowachstum der Mitgliederzahl,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Nettowachstum der Mitgliederzahl,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Netto neue Kapitel,Yes
I18N_NEW,I18NCode from New,New,Neu,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,Neu,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,Eine neue Aktivierung wurde an Ihre E-Mail-Adresse gesendet,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,Neuer Botschafter,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,Neue Sendung,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,Neue Kapitel,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,Neuer Chat,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,Neuer DC,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,Neue Mitglieder / Aktive Kapitel,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,Neue Mitglieder / Kernkapitel,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,Neue Mitglieder,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,Neue Mitglieder sind erforderlich,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,Neue Mitglieder,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,Neue Nachrichten,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,Neu,Yes
I18N_NO,I18NCode for No,No,NEIN,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,NEIN,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,Kein Chatten,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Kontaktkugeln nicht gefunden,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,Kein Länderziel definiert.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,Diesen Monat gibt es kein Mitglied mit 100 Punkten,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,Keine Daten für keine neuen Mitglieder,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,Es liegen keine Daten vor,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,Kein Director-Ziel definiert.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,"Nur verfügbar, wenn Sie mehr als einen Gebietsleiter haben!",Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,Keine Spiele zu zeigen,Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,Keine Kapitelmechanismen definiert.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,Keine Gäste,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,Keine Gäste in den letzten 12 Monaten,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,Kein Bild ausgewählt,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,Dieses Spiel hat keine anzuzeigenden KPIs.,Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,Keine Mechanismen verfügbar,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,Keine Mitgliedsmechanismen definiert.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,Keine Mitglieder verfügbar,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,Keine Mitglieder gefunden.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,Kein multiregionales Ziel definiert.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,niemand zu eins,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,Keine One To Ones in den letzten 4 Wochen,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,Keine Einzelgespräche erhalten,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,Keine erhaltenen Empfehlungen,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,keine Empfehlungen,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,Keine Empfehlungen gegeben,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,Keine Empfehlungen erhalten,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,In den letzten 8 Wochen sind keine Empfehlungen eingegangen,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,Kein Regionsziel definiert.,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,Keine Ergebnisse,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,Keine Ergebnisse gefunden,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,Keine Ergebnisse gefunden für,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,Keine geplanten Operationen,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,Keine Aufgaben,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,Keine Mitglieder im Team,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,Für dieses Spiel sind keine Mannschaften zu zeigen.,Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,Kein Training oder CEU am Ende,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,Kein Training oder CEU am Ende,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,Keine Benutzer gefunden,Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,"neue Mitglieder, die Green nicht erreicht haben",Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Nicht die Grünen,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.",Dateityp nicht zulässig.,Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Noch nicht registriert?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,"Mitgliedschaftsdauer von Mitgliedern, die Green noch nicht erreicht haben",Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Bemerkenswerte Netzwerker,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Notizen,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Nicht grün,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Benachrichtigungen,Yes
I18N_NOVEMBER,I18NCode for November,November,November,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Anzahl der Mitglieder,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Anzahl der Teams,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Gesamtzahl der gesponserten Mitglieder,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Zielzeitbereich,Yes
I18N_OCTOBER,I18NCode for October,October,Oktober,Yes
I18N_OF,I18NCode for Of,Of,Von,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,von,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,der Mitglieder,Yes
I18N_OLD,I18NCode for Old,Old,Alt,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,Auf Firefox,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,Auf Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,Im Internet Explorer,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,Auf Safari,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,Markieren Sie neue Mitglieder an der Ampel,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,Eins-zu-eins,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,Eins-zu-eins,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,TYFCB ist erforderlich,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Betrieb,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Vorgangsbeschreibung,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Operationen,Yes
I18N_OPTION,I18NCode for Option,Option,Option,Yes
I18N_OPTIONS,I18NCode for Options,Options,Optionen,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Optout-Bericht,Yes
I18N_ORDER,I18NCode for Order,Order,Befehl,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Original,Yes
I18N_OUT_,I18NCode for Out,Out,Aus,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Gesamt,Yes
I18N_P,I18NCode for P,P,P,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Seite,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Elternmenü,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Option „Übergeordnetes Menü“.,Yes
I18N_PASSWORD,i18NCode for Password,Password,Passwort,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Passwort erfolgreich geändert!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Passwort ist erforderlich,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Das Passwort muss mindestens 8 Zeichen lang sein,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Das Passwort muss mindestens 8 Zeichen lang sein,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,Pro Kapitel,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf.,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Leistung,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Führen Sie die vollständige Verwaltung Ihres Unternehmens durch,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Periodizität,Yes
I18N_PHONE,I18NCode for Phone,Phone,Telefon,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Wählen Sie den Datumsbereich aus,Yes
I18N_PLACE,I18NCode for Place,Place,Ort,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,Bitte überprüfen Sie Ihren Posteingang,Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,Bitte fordern Sie eine neue Aktivierungs-E-Mail an,Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,Bitte warten,Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,"Bitte warten Sie, während wir Ihr Token validieren",Yes
I18N_POINTS,I18NCode for Points,Points,Punkte,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Umfrageoptionen,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Mögliche Erneuerungen,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Vorheriger Monat,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Hauptkontaktdaten,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Priorität,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Datenschutzrichtlinie,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",Für uns bei <strong>DeepEye</strong> ist der Schutz Ihrer Privatsphäre von größter Bedeutung.,Yes
I18N_PRIVATE,I18NCode for private,Private,Privat,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Privater Chat,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Nur private Gespräche,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Wahrscheinliche Erneuerungen,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Bearbeitung Ihrer Anfrage,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Beruf,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Profil,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Profilbeschreibung,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Profildetailseite,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Profildetails,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Profilname,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Profile,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Fortschritt,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Zum Administrator hochstufen,Yes
I18N_PTS,I18NCode for Pts,Pts,Pkt,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,Quartal,Yes
I18N_QUESTION,I18NCode for Question,Question,Frage,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Frage,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,R2Y-Administrator,Yes
I18N_REASON,I18NCode for Reason,Reason,Grund,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Erhalten Sie E-Mail-Benachrichtigungen für Nachrichten,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Erhalten Sie Berichte,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Im letzten erhalten,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Erhaltene Empfehlungen,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Rot,Yes
I18N_REF,I18NCode for Ref,Ref.,Ref.,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Empfehlungen,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Empfehlungen sind erforderlich,Yes
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Empfehlungen,Yes
I18N_REGION,I18NCode for Région,Region,Region,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Region Durchschn,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Regionsentwicklung,Yes
I18N_REGION_GOAL_EDIT,I18NCode for Region Goal Edit,Edit the Region Goal,Bearbeiten Sie das Regionsziel,Yes
I18N_REGION_GOAL_MENU,I18NCode for Region Menu for Goals,Region,Region,Yes
