Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N_MDCP_MONTHLY_DIRECTOR_CONSULTANT_PERFORMANCE_REPORT,I18NCode for MDCP Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,MDCP - Monthly Director Consultant Performance Report,Yes
I18N_ME,I18NCode for Me,Me,Me,Yes
I18N_MECHANISMS,I18NCode for Mechanisms,Mechanisms,Mechanisms,Yes
I18N_MEETING,I18NCode for Meeting,Meeting,Meeting,Yes
I18N_MEGA_REGION,I18NCode for Mega Region,Mega Region,Mega Region,Yes
I18N_MEM,I18NCode for MEM,MEM,MEM,Yes
I18N_MEMBER,I18NCode for Member,Member,Member,Yes
I18N_MEMBER_ANALYSIS,I18NCode for Member Analysis,Member Analysis,Member Analysis,Yes
I18N_MEMBER_FLOW,I18NCode for Member Flow,Member Flow,Member Flow,Yes
I18N_MEMBER_MANAGEMENT,I18NCode for Member Management,Member Management,Member Management,Yes
I18N_MEMBER_MECHANISMS,I18NCode for Member Mechanisms,Member Mechanisms,Member Mechanisms,Yes
I18N_MEMBER_SUPPORT_TASKS,I18NCode for Member Support Tasks,LT or MC Member Support Tasks,LT or MC Member Support Tasks,Yes
I18N_MEMBERS,I18NCode for Members,Members,Members,Yes
I18N_MEMBERS___CHAPTERS,I18NCode for Members & Chapters,Chapters and Members,Chapters and Members,Yes
I18N_MEMBERS_100_POINTS,I18NCode for Members 100 Points Page Title,100 Points,100 Points,Yes
I18N_MEMBERS_CHAPTER,I18NCode for members/chapter,members/chapter,members/chapter,Yes
I18N_MEMBERS_COUNT,I18NCode for Members Count,Members count,Members count,Yes
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,Members falling in TL for,Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Members in Traffic Lights,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Members List,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Member´s Profession,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Members Satisfaction,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Total Members,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Members/Users,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Members with less then,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Membership,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,MemberShip Age,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,Membership Committee,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Membership Length,Yes
I18N_MENU,I18NCode for Menu,Menu,Menu,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Menu Options,Yes
I18N_MENUS,I18NCode for Menus,Menus,Menus,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Message Body,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Establishing the Chapter Objetive is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Establishing the Country's Objective is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Establishing the Director's Objetive is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Establishing Chapter Mechanisms is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Establishing Member Mechanisms is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Establishing the Multi Region Objetive is a fundamental step towards Success.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Establishing the Region's Objetive is a fundamental step towards Success.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Message to broadcast,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Messages,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Performance Metrics,Yes
I18N_MIN,I18NCode represent Min:,Min:,Min:,Yes
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Min Membership Age,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,minutes,Yes
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Description,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Module ,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Modules,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Monitor MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Enable MSP monitoring,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Monitor Substitutions,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Enable monitoring substitutions,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Month by month,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit, Months from the affiliate's entry until their exit,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/month/member (6m),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Monthly Alert Report Settings,Yes
I18N_MONTHS,I18NCode for Months,Months,Months,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Months 100 Points,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Months before renewal,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Months in BNI,Yes
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA - Monthly Alert Report,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.","This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.",Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's","This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's",Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,MSP Monitor Settings,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,MSP Only,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Activate MSP Only,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Multi avg,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Multi Region,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Multi region cannot exceed 50 characteres,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Edit Multi Region Goal,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Multi Region,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Multi region is required,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Multiple responses,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Multipurpose,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Must Repeat Trainning Every,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,My chapter,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,My last contributions,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,My Last Contributions PDF,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Last Received Reports,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,My profile,Yes
I18N_NAME,I18NCode for Name,Name,Name,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Name is a required field,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Net Growth in Membership,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Net Growth in Membership,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Net New Chapters,Yes
I18N_NEW,I18NCode from New,New,New,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,New,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,New activation has been sent for your email,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,New Ambassador,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,New broadcast,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,New Chapters,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,New chat,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,New DC,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,New Members / Active Chapters,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,New Members / Core Chapters,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,New Members,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,New members is required,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,New Members,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,New messages,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,New,Yes
I18N_NO,I18NCode for No,No,No,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,No Chapter Goal defined.,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,No Chatting,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Contact Spheres not found,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,No Country Goal defined.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,This month there are no members with 100 points,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,No Data for No New Members,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,No data is available,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,No Diretor Goal defined.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,Only available if you have more than one Area Director!,Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,No games to show,Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,No Chapter Mechanisms defined.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,No Guests,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,No Guests in the Last 12 Months,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,No image selected,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,This Game has no KPI's to show.,Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,No Mecanisms Available,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,No Member Mechanisms defined.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,No Members Available,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,No members found.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,No Multi Region Goal defined.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,no one to ones,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,No One-To-Ones received,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,No received referrals,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,no referrals,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,No referrals given,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,No referrals received,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,No Referrals Received in the Last 8 Weeks,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,No Region Goal defined.,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,No results,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,No results found,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,No results found for,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,No Scheduled Operations,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,No tasks ,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,No members in the team,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,This Game has no teams to show.,Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,No Trainning or CEU On Last,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,No users found,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,No members on this month for renew,Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,new members that did not reach Green,Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Not Greens,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.","File type not allowed. Use only JPEG, PNG, or GIF.",Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Not Registered yet?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,membership length from members that did not reach Green yet,Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Notable Networkers,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Notes,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Not Green,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Notifications,Yes
I18N_NOVEMBER,I18NCode for November,November,November,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Number of Members,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Number of teams,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Total Sponsored Members,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Goal Time Range,Yes
I18N_OCTOBER,I18NCode for October,October,October,Yes
I18N_OF,I18NCode for Of,Of,Of,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,of,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,of the Members,Yes
I18N_OLD,I18NCode for Old,Old,Old,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,On Firefox,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,On Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,On Internet Explorer,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,On Safari,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,One-to-One's,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,One-To-One's,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,TYFCB is required,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Operation,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Operation Description,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Operations,Yes
I18N_OPTION,I18NCode for Option,Option,Option,Yes
I18N_OPTIONS,I18NCode for Options,Options,Options,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Optout Report,Yes
I18N_ORDER,I18NCode for Order,Order,Order,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Original,Yes
I18N_OUT_,I18NCode for Out,Out,Out,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Overall,Yes
I18N_P,I18NCode for P,P,P,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Page,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Parent Menu,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Parent Menu Option,Yes
I18N_PASSWORD,i18NCode for Password,Password,Password,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Password Changed Successfully!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Password is required,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Password must be at leat 8 caracters,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Passwords do not match,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,Per Chapter,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf. Index,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Performance,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Perform complete management of yours,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Periodicity,Yes
I18N_PHONE,I18NCode for Phone,Phone,Phone,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Pick the Range of Dates,Yes
I18N_PLACE,I18NCode for Place,Place,Place,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,Please check your inbox,Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,Please request a new activation email,Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,Please wait,Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,Please wait while we validade your token,Yes
I18N_POINTS,I18NCode for Points,Points,Points,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Poll options,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Possible Renewals,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Previous Month,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Primary contact details,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Priority,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Privacy Policy,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.","For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",Yes
I18N_PRIVATE,I18NCode for private,Private,Private,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Private Chat,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Private conversations only,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Probable Renewals,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Processing your request,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Profession,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Profile,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Profile Description,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Profile Detail Page,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Profile Details,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Profile Name,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Profiles,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Progress,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Promote to admin,Yes
I18N_PTS,I18NCode for Pts,Pts,Pts,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,Quarter,Yes
I18N_QUESTION,I18NCode for Question,Question,Question,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Quick stats,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,R2Y Administrator,Yes
I18N_REASON,I18NCode for Reason,Reason,Reason,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Receive email alerts for messages,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Receive Reports,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Received in the last,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Received Referrals,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Red,Yes
I18N_REF,I18NCode for Ref,Ref.,Ref.,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Referrals,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Referrals is required,Yes
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Referrals,Yes
I18N_REGION,I18NCode for Région,Region,Region,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Region Avg,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Region Development,Yes
