Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N_MEMBERS_FALLING_IN_TL_FOR,"I18NCode for ""Members falling in TL for""",Members falling in TL for,"Dalībnieki, kas iekrīt TL par",Yes
I18N_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for Members in Traffic Lights,Members in Traffic Lights,Dalībnieki luksoforos,Yes
I18N_MEMBERS_LIST,I18NCode for Members List,Members List,Dalībnieku saraksts,Yes
I18N_MEMBERS_PROFESSION,I18NCode for Members Profession,Member´s Profession,Dalībnieka profesija,Yes
I18N_MEMBERS_SATISFACTION,I18NCode for Members Satisfaction,Members Satisfaction,Deputātu apmierinātība,Yes
I18N_MEMBERS_TOTAL,I18NCode for Members Total,Total Members,Dalībnieku kopskaits,Yes
I18N_MEMBERS_USERS,I18NCode for Members & Users,Members/Users,Dalībnieki/Lietotāji,Yes
I18N_MEMBERS_WITH_LESS_THEN,"I18NCode for ""Members with less then""",Members with less then,Biedri ar mazāku tad,Yes
I18N_MEMBERSHIP,I18NCode for Membership,Membership,Dalība,Yes
I18N_MEMBERSHIP_AGE,I18NCode for MemberShip Age,MemberShip Age,Dalības vecums,Yes
I18N_MEMBERSHIP_COMMITTEE,I18NCode for Membership Committee,Membership Committee,biedru komiteja,Yes
I18N_MEMBERSHIP_LENGTH,I18NCode for MemberShip Length,Membership Length,Dalības ilgums,Yes
I18N_MENU,I18NCode for Menu,Menu,Izvēlne,Yes
I18N_MENU_OPTIONS,I18NCode for Menu Options ,Menu Options,Izvēlnes opcijas,Yes
I18N_MENUS,I18NCode for Menus,Menus,Izvēlnes,Yes
I18N_MESSAGE_BODY,I18NCode for Message Body,Message Body,Ziņojuma pamatteksts,Yes
I18N_MESSAGE_NO_CHAPTER_GOAL,I18NCode for Message No Chapter Goal,Establishing the Chapter Objetive is a fundamental step towards Success.,Nodaļas mērķa noteikšana ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_COUNTRY_GOAL,I18NCode for Message No Country Goal,Establishing the Country's Objective is a fundamental step towards Success.,Valsts mērķa noteikšana ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_DIRECTOR_GOAL,I18NCode for Message No Director Goal,Establishing the Director's Objetive is a fundamental step towards Success.,Direktora mērķa noteikšana ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_GROUP_MECHANISMS,I18NCode for Message No Group Mechanisms,Establishing Chapter Mechanisms is a fundamental step towards Success.,Nodaļas mehānismu izveide ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_MEMBER_MECHANISMS,I18NCode for Message No Member Mechanisms,Establishing Member Mechanisms is a fundamental step towards Success.,Dalībvalstu mehānismu izveide ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_MULTI_REGION_GOAL,I18NCode for Message No Multi Region Goal,Establishing the Multi Region Objetive is a fundamental step towards Success.,Vairāku reģionu mērķa noteikšana ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_NO_REGION_GOAL,I18NCode for Message No Region Goal,Establishing the Region's Objetive is a fundamental step towards Success.,Reģiona mērķa noteikšana ir būtisks solis ceļā uz panākumiem.,Yes
I18N_MESSAGE_TO_BROADCAST,I18NCode for Message to broadcast,Message to broadcast,Ziņojums pārraidīšanai,Yes
I18N_MESSAGES,I18NCode for Messages Chat,Messages,Ziņojumi,Yes
I18N_METRIC_PERFOMANCE,I18NCode for Metric Perfomance,Performance Metrics,Veiktspējas rādītāji,Yes
I18N_MIN,I18NCode represent Min:,Min:,Min.:,Yes
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Minimālais dalības vecums,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,minūtes,Yes
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Apraksts,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Modulis,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Moduļi,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Uzraudzīt MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Iespējot MSP uzraudzību,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Uzraudzīt aizstāšanu,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Iespējot uzraudzības aizstāšanu,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Mēnesi pēc mēneša,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit,Mēnesi pēc mēneša,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/mēnesis/biedrs (6 m),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Ikmēneša brīdinājumu pārskata iestatījumi,Yes
I18N_MONTHS,I18NCode for Months,Months,Mēneši,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Mēneši 100 punkti,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Mēneši pirms atjaunošanas,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Mēneši BNI,Yes
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Šis ir <strong>ikmēneša pārskats</strong>, kas parasti tiek nosūtīts izpilddirektoram katru mēneša trešo darba dienu.<br/>",Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA — ikmēneša brīdinājumu ziņojums,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.","Šis ir <strong>ikmēneša pārskats</strong>, kas parasti tiek nosūtīts katram DC katru mēneša trešo darba dienu.<br/>",Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL — ikmēneša reģionālo DC satiksmes gaismas pārskats,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","Šis ir <strong>ikmēneša pārskats</strong>, kas parasti tiek nosūtīts LT, DC, AD un ED (ED ir jāiestata, kurš to saņem, LT, DC...) katru mēneša 3. darba dienu.<br/>",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL — ikmēneša reģionālās nodaļas luksofori,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's","Šis ir <strong>ikmēneša pārskats</strong>, kas parasti tiek nosūtīts izpilddirektoram katru mēneša trešo darba dienu.<br/>",Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP — ikmēneša reģionālā darbības pārskats,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,MSP monitora iestatījumi,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,Tikai MSP,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Aktivizējiet tikai MSP,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Vairāki vid,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Vairāku reģionu,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Vairāku reģionu garums nedrīkst pārsniegt 50 rakstzīmes,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Rediģēt vairāku reģionu mērķi,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Vairāku reģionu,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Nepieciešami vairāki reģioni,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Vairākas atbildes,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Daudzfunkcionāls,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Treniņš ir jāatkārto katru reizi,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,Mana nodaļa,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,Mani pēdējie ieguldījumi,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,Mani pēdējie ieguldījumi PDF,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Pēdējās saņemtās atskaites,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,Mans profils,Yes
I18N_NAME,I18NCode for Name,Name,Vārds,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Vārds ir obligāts lauks,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Dalības neto pieaugums,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Dalības neto pieaugums,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Neto jaunas nodaļas,Yes
I18N_NEW,I18NCode from New,New,Jauns,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,Jauns,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,Jūsu e-pastam ir nosūtīta jauna aktivizācija,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,Jaunais vēstnieks,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,Jauns raidījums,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,Jaunas nodaļas,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,Jauna tērzēšana,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,Jauns DC,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,Jauni dalībnieki / aktīvās nodaļas,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,Jauni dalībnieki / Galvenās nodaļas,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,Jaunie biedri,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,Nepieciešami jauni dalībnieki,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,Jaunie biedri,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,Jaunas ziņas,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,Jauns,Yes
I18N_NO,I18NCode for No,No,Nē,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,Nodaļas mērķis nav definēts.,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,Nav tērzēšanas,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Kontaktpersonu sfēras nav atrastas,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,Valsts mērķis nav definēts.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,Šomēnes nav neviena dalībnieka ar 100 punktiem,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,Nav datu par nav jaunu dalībnieku,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,Dati nav pieejami,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,Nav definēts direktora mērķis.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,"Pieejams tikai tad, ja jums ir vairāk nekā viens rajona direktors!",Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,"Nav spēļu, ko parādīt",Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,Nav definēti nodaļas mehānismi.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,Nav viesu,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,Pēdējo 12 mēnešu laikā nav viesu,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,Nav atlasīts neviens attēls,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,"Šai spēlei nav KPI, ko parādīt.",Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,Nav pieejami mehānismi,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,Nav definēts neviens dalības mehānisms.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,Nav pieejams neviens dalībnieks,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,Nav atrasts neviens dalībnieks.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,Nav definēts vairāku reģionu mērķis.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,neviens pret vieniem,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,Neviens pret vienu pēdējo 4 nedēļu laikā,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,Viens pret vienu nav saņemts,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,Nav saņemtu ieteikumu,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,nav nosūtījumu,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,Nav sniegti ieteikumi,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,Nav saņemts neviens nosūtījums,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,Pēdējo 8 nedēļu laikā nav saņemts neviens ieteikums,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,Reģiona mērķis nav definēts.,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,Nav rezultātu,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,Nav atrasts neviens rezultāts,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,Nav atrasts neviens rezultāts vaicājumam,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,Nav plānoto darbību,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,Nav uzdevumu,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,Komandā nav dalībnieku,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,"Šajā spēlē nav komandu, ko parādīt.",Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,No Training vai CEU On Last,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,Nav atrasts neviens lietotājs,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,"Šajā mēnesī nav dalībnieku, ko varētu atjaunot",Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,"jauni dalībnieki, kas nesasniedza Grīnu",Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Nevis zaļie,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.",Faila veids nav atļauts.,Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Vēl neesat reģistrējies?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,"dalības ilgums no dalībniekiem, kuri vēl nav sasnieguši Grīnu",Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Ievērojami tīkla lietotāji,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Piezīmes,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Nevis zaļš,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Paziņojumi,Yes
I18N_NOVEMBER,I18NCode for November,November,novembris,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Deputātu skaits,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Komandu skaits,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Kopējais sponsorēto dalībnieku skaits,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Mērķa laika diapazons,Yes
I18N_OCTOBER,I18NCode for October,October,oktobris,Yes
I18N_OF,I18NCode for Of,Of,No,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,no,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,no deputātiem,Yes
I18N_OLD,I18NCode for Old,Old,Vecs,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,Firefox,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,Pārlūkā Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,Programmā Internet Explorer,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,Safari,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,Uz luksoforiem atzīmējiet jaunos dalībniekus,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,Viens pret vienu,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,Viens pret vienu,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,Nepieciešams TYFCB,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Darbība,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Darbības apraksts,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Operācijas,Yes
I18N_OPTION,I18NCode for Option,Option,Opcija,Yes
I18N_OPTIONS,I18NCode for Options,Options,Iespējas,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Atteikšanās ziņojums,Yes
I18N_ORDER,I18NCode for Order,Order,Pasūtiet,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Oriģināls,Yes
I18N_OUT_,I18NCode for Out,Out,Ārā,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Kopumā,Yes
I18N_P,I18NCode for P,P,P,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Lapa,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Vecāku izvēlne,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Vecāku izvēlnes opcija,Yes
I18N_PASSWORD,i18NCode for Password,Password,Parole,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Parole veiksmīgi nomainīta!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Nepieciešama parole,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Parolei jābūt vismaz 8 rakstzīmēm,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Paroles nesakrīt,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,Pēc nodaļas,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf.,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Performance,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Veiciet pilnīgu savu pārvaldību,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Periodiskums,Yes
I18N_PHONE,I18NCode for Phone,Phone,Tālrunis,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Izvēlieties datumu diapazonu,Yes
I18N_PLACE,I18NCode for Place,Place,Vieta,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,"Lūdzu, pārbaudiet savu iesūtni",Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,"Lūdzu, pieprasiet jaunu aktivizācijas e-pastu",Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,"Lūdzu, uzgaidiet",Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,"Lūdzu, uzgaidiet",Yes
I18N_POINTS,I18NCode for Points,Points,Punkti,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Aptaujas iespējas,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Iespējamie atjaunošanas darbi,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Iepriekšējais mēnesis,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Primārā kontaktinformācija,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Prioritāte,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Privātuma politika,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",Mums <strong>DeepEye</strong> jūsu privātuma aizsardzība ir ārkārtīgi svarīga.,Yes
I18N_PRIVATE,I18NCode for private,Private,Privāts,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Privātā tērzēšana,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Tikai privātas sarunas,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Iespējamās atjaunošanas,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Notiek jūsu pieprasījuma apstrāde,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Profesija,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Profils,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Profila apraksts,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Profila informācijas lapa,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Profila informācija,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Profila nosaukums,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Profili,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Progress,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Paaugstināt par administratoru,Yes
I18N_PTS,I18NCode for Pts,Pts,Pts,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,ceturksnis,Yes
I18N_QUESTION,I18NCode for Question,Question,Jautājums,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Ātra statistika,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,R2Y administrators,Yes
I18N_REASON,I18NCode for Reason,Reason,Iemesls,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Saņemiet e-pasta brīdinājumus par ziņām,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Saņemt atskaites,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Saņemts pēdējā,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Saņemti ieteikumi,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Sarkans,Yes
I18N_REF,I18NCode for Ref,Ref.,Atsauce,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Ieteikumi,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Ir nepieciešami nosūtījumi,Yes
