Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)","Това е <strong>месечен отчет</strong>, който обикновено се изпраща на изпълнителния директор на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA - Месечен доклад за предупреждение,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до всеки DC на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Месечен отчет за регионалните светофари на DC,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","Това е <strong>месечен отчет</strong>, който обикновено се изпраща до LT, DC, AD и ED (ED трябва да посочи кой да го получава, LT, DC...) на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL - Месечни регионални светофари,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's","Това е <strong>месечен отчет</strong>, който обикновено се изпраща на изпълнителния директор на всеки 3-ти работен ден от месеца.<br/>",Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP - Месечен регионален отчет за изпълнението,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,Настройки на MSP монитора,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,Само MSP,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Активирайте само MSP,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Мулти ср,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Мулти регион,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Мултирегионът не може да надвишава 50 знака,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Редактиране на многорегионална цел,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Мулти регион,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Изисква се няколко региона,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Множество отговори,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Многофункционален,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Тренировката трябва да се повтаря всяка,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,Моята глава,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,Последните ми приноси,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,Моите последни приноси PDF,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Последни получени отчети,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,Моят профил,Yes
I18N_NAME,I18NCode for Name,Name,Име,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Името е задължително поле,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Нетно нарастване на членството,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Нетно нарастване на членството,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Нетни нови глави,Yes
I18N_NEW,I18NCode from New,New,Нов,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,Нов,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,Изпратено е ново активиране за вашия имейл,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,Нов посланик,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,Ново предаване,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,Нови глави,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,Нов чат,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,Нов DC,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,Нови членове / Активни глави,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,Нови членове / Основни глави,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,Нови членове,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,Необходими са нови членове,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,Нови членове,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,Нови членове,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,Нов,Yes
I18N_NO,I18NCode for No,No,не,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,Няма дефинирана цел на глава.,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,Без чат,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Сферите за контакт не са намерени,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,Няма дефинирана цел за държава.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,Този месец няма членове със 100 точки,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,Няма данни за нови членове,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,Няма налични данни,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,Няма дефинирана цел на директора.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,Предлага се само ако имате повече от един областен директор!,Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,Няма игри за показване,Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,Няма дефинирани механизми за глава.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,Няма гости,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,Няма гости през последните 12 месеца,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,Няма избрано изображение,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,Тази игра няма KPI за показване.,Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,Няма налични механизми,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,Няма дефинирани механизми за членове.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,Няма налични членове,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,Няма намерени членове.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,Няма дефинирана мултирегионална цел.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,никой към един,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,Никой към един през последните 4 седмици,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,Няма получени едно към едно,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,Няма получени препоръки,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,няма реферали,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,Няма дадени препоръки,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,Няма получени препоръки,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,Няма получени препоръки през последните 8 седмици,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,Няма дефинирана регионална цел.,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,Няма резултати,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,Няма намерени резултати,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,Няма намерени резултати за,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,Няма планирани операции,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,Без задачи,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,Без задачи,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,Тази игра няма отбори за показване.,Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,Без обучение или CEU за последно,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,Няма намерени потребители,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,Този месец няма членове за подновяване,Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,"нови членове, които не са достигнали до Green",Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Не Зелените,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.",Типът файл не е разрешен.,Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Още не сте регистрирани?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,"дължина на членство от членове, които все още не са достигнали Green",Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Известни мрежи,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Бележки,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Не зелено,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Известия,Yes
I18N_NOVEMBER,I18NCode for November,November,ноември,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Брой членове,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Брой отбори,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Общ брой спонсорирани членове,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Целеви времеви диапазон,Yes
I18N_OCTOBER,I18NCode for October,October,октомври,Yes
I18N_OF,I18NCode for Of,Of,на,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,на,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,на членовете,Yes
I18N_OLD,I18NCode for Old,Old,стари,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,На Firefox,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,В Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,В Internet Explorer,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,В Safari,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,На светофара Маркирайте нови членове,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,Едно към едно,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,Един към един,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,Изисква се TYFCB,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Операция,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Описание на операцията,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Операции,Yes
I18N_OPTION,I18NCode for Option,Option,опция,Yes
I18N_OPTIONS,I18NCode for Options,Options,Опции,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Доклад за отказване,Yes
I18N_ORDER,I18NCode for Order,Order,ред,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Оригинален,Yes
I18N_OUT_,I18NCode for Out,Out,Навън,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Като цяло,Yes
I18N_P,I18NCode for P,P,П,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Страница,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Родителско меню,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Опция за родителско меню,Yes
I18N_PASSWORD,i18NCode for Password,Password,Парола,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Паролата е променена успешно!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Изисква се парола,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Паролата трябва да е поне 8 знака,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Паролите не съвпадат,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,По глава,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf.,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Изпълнение,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Извършете пълно управление на вашите,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Периодичност,Yes
I18N_PHONE,I18NCode for Phone,Phone,Телефон,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Изберете диапазона от дати,Yes
I18N_PLACE,I18NCode for Place,Place,място,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,"Моля, проверете входящата си кутия",Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,"Моля, поискайте нов имейл за активиране",Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,моля изчакайте,Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,"Моля, изчакайте, докато потвърдим вашето означение",Yes
I18N_POINTS,I18NCode for Points,Points,Точки,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Опции за анкета,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Възможни подновявания,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Предишния месец,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Основни данни за контакт,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Приоритет,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Политика за поверителност,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",За нас от <strong>DeepEye</strong> защитата на вашата поверителност е от изключително значение.,Yes
I18N_PRIVATE,I18NCode for private,Private,Частно,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Частен чат,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Само лични разговори,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Вероятни подновявания,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Заявката ви се обработва,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Професия,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Профил,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Описание на профила,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Страница с подробности за профила,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Подробности за профила,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Име на профил,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Профили,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Напредък,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Повишаване до администратор,Yes
I18N_PTS,I18NCode for Pts,Pts,точки,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,Квартал,Yes
I18N_QUESTION,I18NCode for Question,Question,Въпрос,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Бърза статистика,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,R2Y администратор,Yes
I18N_REASON,I18NCode for Reason,Reason,Причина,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Получавайте известия по имейл за съобщения,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Получавайте известия по имейл за съобщения,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Получавайте известия по имейл за съобщения,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Получаване на отчети,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Червено,Yes
I18N_REF,I18NCode for Ref,Ref.,Реф.,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Реферали,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Изискват се препоръки,Yes
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Реферали,Yes
I18N_REGION,I18NCode for Région,Region,Регион,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Регион ср,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Регионално развитие,Yes
I18N_REGION_GOAL_EDIT,I18NCode for Region Goal Edit,Edit the Region Goal,Редактирайте целта за регион,Yes
I18N_REGION_GOAL_MENU,I18NCode for Region Menu for Goals,Region,Регион,Yes
I18N_REGION_ID_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Region ID cannot exceed 50 characters,Region ID cannot exceed 50 characters,ID на региона не може да надвишава 50 знака,Yes
I18N_REGION_ID_IS_REQUIRED,I18NCode for Region ID is required,Region ID is required,Изисква се идентификатор на регион,Yes
I18N_REGION_LAST_MONTH,I18NCode for Region Last Month Page,Region Last Month,Регион миналия месец,Yes
I18N_REGION_RETENTION_GROWTH,I18NCode for Region Retention Growth Page Title,Retention Growth,Растеж на задържане,Yes
I18N_REGION_SCHEDULES,I18NCode for Region Schedules Title Page,Scheduled Operations,Планирани операции,Yes
I18N_REGION_SETUP,I18NCode for Region Setup,Region Setup,Настройка на региона,Yes
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,Размер на региона,Yes
I18N_REGIONAL,I18NCode for Regional,Regional,Регионален,Yes
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,Областна администрация,Yes
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,Регионално преброяване,Yes
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,Регионална контактна сфера,Yes
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,Регионална информация,Yes
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,Регионална опция,Yes
I18N_REGIONS,Region,Regions,Региони,Yes
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams","Региони, клонове, членове и екипи",Yes
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,Еволюция на регионите,Yes
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,Региони,Yes
I18N_REGISTER,I18NCode for Register ,Register,Регистрирайте се,Yes
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,Регистрирайте нов потребител,Yes
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,Този регистър е само за потребители на Reporting2You,Yes
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,Презареждане на диаграмата,Yes
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!","Да, премахнете го!",Yes
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,Премахване от групата,Yes
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,Премахване на изображението,Yes
I18N_RENEW,I18NCode for Renew,Renew at,Подновете на,Yes
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,Подновете,Yes
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,Подновете,Yes
I18N_RENEWALS,I18NCode for Renewals,Renewals,Подновявания,Yes
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,Необходими са подновявания,Yes
I18N_RENEWS,I18NCode for Renews,Renew,Подновете,Yes
I18N_REPORT,I18NCode for Report,Report,Докладвай,Yes
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,Дата на отчета,Yes
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,Име на отчета,Yes
I18N_REPORTS,I18NCode for Reports,Reports,Доклади,Yes
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,Поискайте нов токен,Yes
I18N_REQUIRED_CODE,Required Code,I18n Codes names is required to be unique.,Имената на I18n кодовете трябва да бъдат уникални.,Yes
I18N_RES,I18NCode for Res,Res.,Рез.,Yes
I18N_RESET,I18NCode for Reset,Reset,Нулиране,Yes
I18N_RESIZE_CHAPTER_IMAGE_,I18NCode for Resize Chapter Image ,Resize chapter image,Преоразмеряване на изображението на глава,Yes
I18N_RESIZE_PROFILE_PICTURE,I18NCode for Resize profile picture,Resize profile picture,Преоразмеряване на профилна снимка,Yes
I18N_RESPONDING_TO,"I18NCode for Responding to
",Responding to,Отговаряйки на,Yes
I18N_RESULT,I18NCode for Result,Result,Резултат,Yes
I18N_RET,I18NCode for Ret,Ret.,Ret.,Yes
I18N_RET_1Y,I18NCode for Ret 1Y,Ret.1Y,Ret.1Y,Yes
I18N_RETAIN,I18NCode for Retain,Retain,Запазете,Yes
I18N_RETENTION,Retention,Retention,Задържане,Yes
I18N_RETENTION_IS_REQUIRED,I18NCode for Retention is required,Retention is required,Изисква се задържане,Yes
I18N_RETURN_TO_LIST,I18NCode for Return to list,Return to list,Назад към списъка,Yes
I18N_RETURN_TO_LOGIN,I18NCode for Return to Login,Return to Login,Върнете се към Вход,Yes
I18N_RETURN_TO_PREVIOUS_PAGE,I18NCode for Back to previous page,Return to previous page,Връщане към предишната страница,Yes
I18N_RG,I18NCode for RG,RG,RG,Yes
I18N_ROLE,I18NCode for Role,Role,Роля,Yes
I18N_RR,I18NCode for RR,RR,RR,Yes
I18N_S,I18NCode for S,S,С,Yes
I18N_SAVE,I18NCode for Save Button,Save,Запазване,Yes
I18N_SAVED_FILES,I18NCode for Saved Files,Saved Files,Запазени файлове,Yes
I18N_SCHEDULED,I18NCode to scheduled,Scheduled,Планирано,Yes
I18N_SCHEDULED_DATE,I18NCode for Scheduled Date in Manage Tasks,Scheduled Date,Насрочена дата,Yes
I18N_SEARCH,I18NCode for Search,Search,Търсене,Yes
I18N_SEARCH_BY,I18NCode for Search By label,Search by,Търсене по,Yes
I18N_SEARCH_BY_PROFESSION,I18NCode for Search By Profession,Search by Profession,Търсене по професия,Yes
I18N_SEARCH_CHAPTER,I18NCode for Search Chapter,Search Chapter,Глава за търсене,Yes
I18N_SEARCH_CODEI18N,,Search Code I18N,Код за търсене I18N,Yes
I18N_SEARCH_CONTEXT,I18NCode for search context bar,Search context,Контекст за търсене,Yes
I18N_SEARCH_COUNTRY,I18nCode for search country,Search Country,Държава за търсене,Yes
I18N_SEARCH_COUNTRY_LASTMONTH,I18NCode for Search Country Last Month,,,Yes
I18N_SEARCH_DIRECTOR,I18NCode for Search Director Bar,Search Director,Директор за търсене,Yes
