Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N_MIN_MEMBERSHIP_AGE,I18NCode for Min Membership Age,Min Membership Age,Minimale lidmaatschapsleeftijd,Yes
I18N_MINUTES,I18NCode for Minutes,minutes,notulen,Yes
I18N_MODULE_DESCRIPTION,I18NCode for module description,Description,Beschrijving,Yes
I18N_MODULE_NAME,I18NCode for the module name type,Module ,Module,Yes
I18N_MODULES,I18NCodes for Modules,Modules,Modules,Yes
I18N_MONITOR_MSP,I18NCode for Monitor MSP,Monitor MSP,Monitor MSP,Yes
I18N_MONITOR_MSP_LABEL,I18NCode for Monitor MSP Label,Enable MSP monitoring,Schakel MSP-monitoring in,Yes
I18N_MONITOR_SUBSTITUTIONS,I18NCode for Monitor Substitutions,Monitor Substitutions,Schakel MSP-monitoring in,Yes
I18N_MONITOR_SUBSTITUTIONS_LABEL,I18NCode Monitor Substitutions Label,Enable monitoring substitutions,Schakel monitoringvervangingen in,Yes
I18N_MONTH_BY_MONTH,I18NCode for Month by month,Month by month,Maand na maand,Yes
I18N_MONTH_DIFFERENCE,I18NCode for Month difference, Months from the affiliate's entry until their exit,Maanden vanaf de toetreding van de aangeslotene tot zijn vertrek,Yes
I18N_MONTH_MEMBER_6AM,I18NCode for /month/member (6m),/month/member (6m),/maand/lid (6m),Yes
I18N_MONTHLY_ALERT_REPORT_SETTINGS,I18NCode for Monthly Alert Report Settings,Monthly Alert Report Settings,Instellingen voor maandelijks waarschuwingsrapport,Yes
I18N_MONTHS,I18NCode for Months,Months,Maanden,Yes
I18N_MONTHS_100_POINTS,I18NCode for Months 100 Points,Months 100 Points,Maanden 100 punten,Yes
I18N_MONTHS_BEFORE_RENEWAL,"I18NCode for ""Months Before Renewal""",Months before renewal,Maanden vóór verlenging,Yes
I18N_MONTHS_IN_BNI,I18NCode for Months in BNI,Months in BNI,Maanden in BNI,Yes
I18N_MRA_DESCRIPTION,I18NCode for MRA Description,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give, in only one report, the list of next 3 month renewals and identify on that list the members in member traffic lights RED or GRAY, and also complete list of what happened last month in the region (late, dropped , new and renewed members, members with 3 or more absences, members with 3 or more substitutions, PALMS monitoring and Directors Chapter Visits)",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar de uitvoerend directeur wordt gestuurd.<br/>,Yes
I18N_MRA_MONTHLY_ALERT_REPORT,I18NCode for MRA Monthly Alert Report,MRA - Monthly Alert Report,MRA - Maandelijks waarschuwingsrapport,Yes
I18N_MRCTL_DESCRIPTION,I18NCode for MRCTL Description,"This is a <strong>monthly report</strong> that usually is sent to each DC every 3rd working day of the month.<br/>

This a Philippe Blin idea (thank you Philippe) and it is a Traffic Lights for Director Consultants. It is based on DC Chapters Traffic Lights, it is a pretty good tool to understand Director Consultant Performance.",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar elk DC wordt verzonden.<br/>,Yes
I18N_MRCTL_MONTHLY_REGIONAL_DC_TRAFFIC_LIGTHS_REPORT,I18NCode for MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Monthly Regional DC Traffic Ligths Report,MRCTL - Maandelijks rapport over regionale DC-verkeerslichten,Yes
I18N_MRGTL_DESCRIPTION,I18NCode for MRGTL Description,"This is a <strong>monthly report</strong> that usually is sent to LT's, DC's, AD's and ED (the ED must set who receives it, LT, DC...) every 3rd working day of the month.<br/>

The goal is to give LT's and Directors an update regarding their chapter performance and also the ability to compare with all other chapters.","Dit is een <strong>maandelijks rapport</strong> dat gewoonlijk elke derde werkdag van de maand wordt verzonden naar LT's, DC's, AD's en ED (de ED moet instellen wie het ontvangt, LT, DC...).<br/>",Yes
I18N_MRGTL_MONTHLY_REGIONAL_CHAPTER_TRAFFIC_LIGHTS,I18NCode for MRGTL Monthly Regional Chapter Traffic Lights,MRGTL - Monthly Regional Chapter Traffic Lights,MRGTL - Maandelijks regionaal hoofdstuk Verkeerslichten,Yes
I18N_MRP_DESCRIPTION,I18NCode for MRP,"This is a <strong>monthly report</strong> that usually is sent to the Executive Director every 3rd working day of the month.<br/>

The goal is to give the ED a tool to look understand his regional performance and evolution on each and every KSF and other KPI's",Dit is een <strong>maandelijks rapport</strong> dat doorgaans elke derde werkdag van de maand naar de uitvoerend directeur wordt gestuurd.<br/>,Yes
I18N_MRP_MONTHLY_REGIONAL_PERFORMANCE_REPORT,I18NCode for MRP Monthly Regional Performance Report,MRP - Monthly Regional Performance Report,MRP - Maandelijks regionaal prestatierapport,Yes
I18N_MSP,I18NCode for MSP,MSP,MSP,Yes
I18N_MSP_MONITOR_SETTINGS,I18NCode for MSP Monitor Settings,MSP Monitor Settings,MSP-monitorinstellingen,Yes
I18N_MSP_ONLY,I18NCode for MSP Only,MSP Only,Alleen MSP,Yes
I18N_MSP_ONLY_LABEL,I18NCode for MSP Only Label,Activate MSP Only,Activeer Alleen MSP,Yes
I18N_MULTI_AVG,I18NCode for Multi AVG,Multi avg,Meerdere gem,Yes
I18N_MULTI_REGION,I18NCode for Dropdown ddl,Multi Region,Meerdere regio's,Yes
I18N_MULTI_REGION_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Multi Region cannot exceed 50 characters,Multi region cannot exceed 50 characteres,Multiregio mag niet langer zijn dan 50 tekens,Yes
I18N_MULTI_REGION_GOAL_EDIT,I18NCode for Multi REGION GOAL EDIT,Edit Multi Region Goal,Multiregiodoel bewerken,Yes
I18N_MULTI_REGION_GOAL_MENU,I18NCode for Multi Region Goal Menu,Multi Region,Meerdere regio's,Yes
I18N_MULTI_REGION_IS_REQUIRED,I18Ncode for Multi Region is required,Multi region is required,Meerdere regio's zijn vereist,Yes
I18N_MULTIPLE_RESPONSES,"I18NCode for Multiple Responses
",Multiple responses,Meerdere reacties,Yes
I18N_MULTIPURPOSE,Multipurpose,Multipurpose,Multifunctioneel,Yes
I18N_MUST_REPEAT_TRAINNING_EVERY,I18NCode for Must Repeat Trainning Every,Must Repeat Trainning Every,Moet elke training herhalen,Yes
I18N_MY_CHAPTER_,I18NCode for My Chapter,My chapter,Mijn hoofdstuk,Yes
I18N_MY_LAST_CONTRIBUTIONS,My last contributions,My last contributions,Mijn laatste bijdragen,Yes
I18N_MY_LAST_CONTRIBUTIONS_PDF,I18NCode for My Last Contributions Pdf,My Last Contributions PDF,Mijn laatste bijdragen pdf,Yes
I18N_MY_LAST_RECEIVED_REPORTS,I18NCode for My Last Received Reports,Last Received Reports,Laatst ontvangen rapporten,Yes
I18N_MY_PROFILE,I18NCode for My Profile,My profile,Mijn profiel,Yes
I18N_NAME,I18NCode for Name,Name,Naam,Yes
I18N_NAME_IS_REQUIRED,I18NCode for Name Is Required,Name is a required field,Naam is een verplicht veld,Yes
I18N_ND,I18NCode for ND,ND,ND,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP,I18NCode for NET GROWTH IN_MEMBERSHIP (NEW CHAPTERS),Net Growth in Membership,Nettogroei in lidmaatschap,Yes
I18N_NET_GROWTH_IN_MEMBERSHIP2,I18NCode for Net Growth in Membership (Fill Chapters),Net Growth in Membership,Nettogroei in lidmaatschap,Yes
I18N_NET_NEW_CHAPTERS,I18NCode for Net New Chapters,Net New Chapters,Netto nieuwe hoofdstukken,Yes
I18N_NEW,I18NCode from New,New,Nieuw,Yes
I18N_NEW_ABREVIATION,I18NCode for New. Abreviation,New,Nieuw,Yes
I18N_NEW_ACTIVATION_EMAIL_HAS_BEEN_SENT,I18NCode for New Activation Email Has Been Sent,New activation has been sent for your email,Er is een nieuwe activering naar uw e-mailadres verzonden,Yes
I18N_NEW_AMBASSADORS_LAST_6_MONTHS,I18NCode for New Ambassadors (last 6 months),New Ambassador,New Ambassador,Yes
I18N_NEW_BROADCAST,I18NCode for New Broadcast,New broadcast,Nieuwe uitzending,Yes
I18N_NEW_CHAPTERS,I18NCode for New Chapters,New Chapters,Nieuwe uitzending,Yes
I18N_NEW_CHAT,I18NCode for New Chat,New chat,Nieuwe chat,Yes
I18N_NEW_DC_LAST_6_MONTHS,I18NCode for New DC (last 6 months),New DC,Nieuw gelijkstroom,Yes
I18N_NEW_MEMBER_ACTIVE_CHAPTERS,I18NCode for New Member Active Chapters,New Members / Active Chapters,Nieuwe leden / actieve hoofdstukken,Yes
I18N_NEW_MEMBER_CORE_CHAPTERS,I18NCode for New Member Core Chapters,New Members / Core Chapters,Nieuwe leden / kernhoofdstukken,Yes
I18N_NEW_MEMBERS_,I18NCode for New Members,New Members,Nieuwe leden,Yes
I18N_NEW_MEMBERS_IS_REQUIRED,I18NCode for New members is required,New members is required,Er zijn nieuwe leden nodig,Yes
I18N_NEW_MEMBERS_THE_REGION,I18NCode for New Members The Region,New Members,Nieuwe leden,Yes
I18N_NEW_MESSAGES,I18NCode for New Messages,New messages,Nieuwe berichten,Yes
I18N_NEW_SINGULAR,I18NCode for New word in singular,New,Nieuw,Yes
I18N_NO,I18NCode for No,No,Nee,Yes
I18N_NO_CHAPTER_GOAL,I18NCode for No Chapter Goal,No Chapter Goal defined.,Er is geen hoofdstukdoel gedefinieerd.,Yes
I18N_NO_CHATTING,I18NCode for No chatting,No Chatting,Geen chatten,Yes
I18N_NO_CONTACT_SPHERE,I18NCode for No Contact Sphere,Contact Spheres not found,Contact Bollen niet gevonden,Yes
I18N_NO_COUNTRY_GOAL,I18NCode for No Country Goal,No Country Goal defined.,Geen landdoel gedefinieerd.,Yes
I18N_NO_DATA_100_POINTS,I18NCode for No Data 100 Points,This month there are no members with 100 points,Deze maand zijn er geen leden met 100 punten,Yes
I18N_NO_DATA_FOR_NO_NEW_MEMBERS,I18NCode for No Data for No New Members,No Data for No New Members,Geen gegevens voor geen nieuwe leden,Yes
I18N_NO_DATA_TO_SHOW,"I18NCode for message ""No data to show""",No data is available,Er zijn geen gegevens beschikbaar,Yes
I18N_NO_DIRECTOR_GOAL,I18NCode for No Director Goal,No Diretor Goal defined.,Er is geen regisseurdoel gedefinieerd.,Yes
I18N_NO_DIRECTOR_TO_SHOW,I18NCode for No Director to show,Only available if you have more than one Area Director!,Alleen beschikbaar als u meer dan één Area Director heeft!,Yes
I18N_NO_GAMES_TO_SHOW,I18NCode for No Games To Show,No games to show,Er zijn geen games om te laten zien,Yes
I18N_NO_GROUP_MECHANISMS,I18NCode for No Group Mechanisms,No Chapter Mechanisms defined.,Geen hoofdstukmechanismen gedefinieerd.,Yes
I18N_NO_GUESTS,I18NCode for No guests,No Guests,Geen gasten,Yes
I18N_NO_GUESTS_IN_THE_LAST_12_MONTHS,I18NCode for No guests in the last 12 months,No Guests in the Last 12 Months,Geen gasten in de afgelopen 12 maanden,Yes
I18N_NO_IMAGE_SELECTED,I18NCode for No image selected,No image selected,Geen afbeelding geselecteerd,Yes
I18N_NO_KPI_ON_GAME,I18NCode for No KPI on Game,This Game has no KPI's to show.,Deze game heeft geen KPI's om te laten zien.,Yes
I18N_NO_MECANISM_AVAILABLE,I18NCode for No Mecanism Available,No Mecanisms Available,Geen mechanismen beschikbaar,Yes
I18N_NO_MEMBER_MECHANISMS,I18NCode for No Member Mechanisms,No Member Mechanisms defined.,Geen lidmechanismen gedefinieerd.,Yes
I18N_NO_MEMBERS_AVAILABLE,"I18NCode for No members available
",No Members Available,Geen leden beschikbaar,Yes
I18N_NO_MEMBERS_FOUND,I18NCode for No Members Found,No members found.,Geen leden gevonden.,Yes
I18N_NO_MULTI_REGION_GOAL,I18NCode for Multi Region Goal,No Multi Region Goal defined.,Er is geen multiregionaal doel gedefinieerd.,Yes
I18N_NO_ONE_TO_ONES,I18NCode for No One To Ones,no one to ones,niemand tegen degenen,Yes
I18N_NO_ONE_TO_ONES_IN_THE_LAST_4_WEEKS,I18NCode for No One To Ones in the last 4 weeks,No One To Ones in the last 4 weeks,Geen One To Ones in de afgelopen 4 weken,Yes
I18N_NO_ONE_TO_ONES_RECEIVED,I18NCode for No One-To-Ones received,No One-To-Ones received,Geen één-op-één ontvangen,Yes
I18N_NO_RECEIVED_REFERRALS_,I18NCode for NO RECEIVED REFERRALS ,No received referrals,Geen verwijzingen ontvangen,Yes
I18N_NO_REFERRALS,I18NCode for No Referrals,no referrals,geen verwijzingen,Yes
I18N_NO_REFERRALS_GIVEN_,I18NCode for NO REFERRALS Given ,No referrals given,Geen verwijzingen gegeven,Yes
I18N_NO_REFERRALS_RECEIVED,I18NCode for No Referrals Received,No referrals received,Geen verwijzingen ontvangen,Yes
I18N_NO_REFERRALS_RECEIVED_IN_THE_LAST_8_WEEKS,I18NCode for No Referrals Received in the last 8 weeks,No Referrals Received in the Last 8 Weeks,Geen verwijzingen ontvangen in de afgelopen 8 weken,Yes
I18N_NO_REGION_GOAL,I18NCode for No Region Goal,No Region Goal defined.,Geen regiodoel gedefinieerd.,Yes
I18N_NO_RESULTS,I18NCode for No results,No results,Geen resultaten,Yes
I18N_NO_RESULTS_FOUND,I18NCode for No Results found,No results found,Geen resultaten gevonden,Yes
I18N_NO_RESULTS_FOUND_FOR,"I18NCode for No results found for
",No results found for,Er zijn geen resultaten gevonden voor,Yes
I18N_NO_SCHEDULED_OPERATIONS,I18NCode for No Scheduled Operations in Region Schedules Page,No Scheduled Operations,Geen geplande bewerkingen,Yes
I18N_NO_TAKS_EMPTY_DATA,I18NCode for No Taks Empty Data,No tasks ,Geen taken,Yes
I18N_NO_TEAM_MEMBER,I18NCode for No Team Member,No members in the team,Geen leden in het team,Yes
I18N_NO_TEAMS_TO_SHOW,I18NCode for No Teams to show,This Game has no teams to show.,Deze game heeft geen teams om te laten zien.,Yes
I18N_NO_TRAINNING_OR_CEU_ON_LAST,I18NCode for No Trainning or CEU On Last,No Trainning or CEU On Last,Geen training of CEU op het laatst,Yes
I18N_NO_USERS_FOUND,I18NCode for No users found,No users found,Geen gebruikers gevonden,Yes
I18N_NOMEMBERSONTHISMONTHFORRENEWS,I18NCode for NoMembersOnThisMonthforRenews,No members on this month for renew,Geen leden deze maand voor verlenging,Yes
I18N_NOT_GREEN_LABEL_INFO,I18NCode for Not Green Label Info,new members that did not reach Green,nieuwe leden die Green niet bereikten,Yes
I18N_NOT_GREENS,I18NCode for Not Greens,Not Greens,Niet Groenen,Yes
I18N_NOT_PERMITED_FILE,I18NCode for Not permited file,"File type not allowed. Use only JPEG, PNG, or GIF.",Bestandstype niet toegestaan.,Yes
I18N_NOT_REGISTERED_YET_,I18NCode for Not Registered yet?,Not Registered yet?,Nog niet geregistreerd?,Yes
I18N_NOT_TO_GREEN_LABEL_INFO,I18NCode for Not To Green Label Info,membership length from members that did not reach Green yet,lidmaatschapsduur van leden die Green nog niet hebben bereikt,Yes
I18N_NOTABLE_NETWORKERS,I18NCode for Notable Networkers Menu,Notable Networkers,Bekende netwerkers,Yes
I18N_NOTES,I18NCode for Notes in Manage Tasks Page,Notes,Opmerkingen,Yes
I18N_NOTGREEN,I18NCode for NotGreen,Not Green,Niet groen,Yes
I18N_NOTIFICATIONS,I18NCode for Notifications,Notifications,Meldingen,Yes
I18N_NOVEMBER,I18NCode for November,November,November,Yes
I18N_NPS,I18NCode for NPS,NPS,NPS,Yes
I18N_NUMBER_OF_MEMBERS,I18NCode for Number of Members,Number of Members,Aantal leden,Yes
I18N_NUMBER_OF_TEAMS,I18NCode for Number of teams,Number of teams,Aantal ploegen,Yes
I18N_NUMBER_TOTAL_SPONSORS_MEMBERS,I18NCode for Nº Total Spons Members,Total Sponsored Members,Totaal gesponsorde leden,Yes
I18N_OBJECTIVE_TIME,I18NCode for Objective Time,Goal Time Range,Totaal gesponsorde leden,Yes
I18N_OCTOBER,I18NCode for October,October,oktober,Yes
I18N_OF,I18NCode for Of,Of,Van,Yes
I18N_OF_PDF,I18NCode for Of Label in Datatable Pdf Export,of,van,Yes
I18N_OF_THE_MEMBERS,I18NCode for of the members,of the Members,van de Leden,Yes
I18N_OLD,I18NCode for Old,Old,Oud,Yes
I18N_ON_FIREFOX,I18NCode for On Firefox,On Firefox,Op Firefox,Yes
I18N_ON_GOOGLE_CHROME,"i18NCode for On Google Chrome
",On Google Chrome,Op Google Chrome,Yes
I18N_ON_INTERNET_EXPLORER,I18NCode for On Internet Explorer,On Internet Explorer,Op Internet Explorer,Yes
I18N_ON_SAFARI,I18NCode for Safari,On Safari,Op Safari,Yes
I18N_ON_TRAFFIC_LIGHTS_MARK_NEW_MEMBERS,I18NCode for On Traffic Lights Mark New Members,On Traffic Lights Mark New Members,Markeer bij verkeerslichten nieuwe leden,Yes
I18N_ONE_TO_ONE,I18NCode for One-to-One's Chart,One-to-One's,Eén-op-één,Yes
I18N_ONE_TO_ONES,I18NCode for ONE-TO-ONE's,One-To-One's,Eén-op-één,Yes
I18N_ONF_IS_REQUIRED,I18NCode for ONF is required,TYFCB is required,TYFCB is vereist,Yes
I18N_OPERATION,I18NCode for Operation,Operation,Operatie,Yes
I18N_OPERATION_DESCRIPTION,I18NCode for Operation Description,Operation Description,Operatie Beschrijving,Yes
I18N_OPERATIONS,I18NCode for Operations,Operations,Operaties,Yes
I18N_OPTION,I18NCode for Option,Option,Optie,Yes
I18N_OPTIONS,I18NCode for Options,Options,Opties,Yes
I18N_OPTOUT_REPORT,I18NCode for Optout Report label,Optout Report,Afmeldingsrapport,Yes
I18N_ORDER,I18NCode for Order,Order,Volgorde,Yes
I18N_ORIGINAL,I18NCode for Original,Original,Origineel,Yes
I18N_OUT_,I18NCode for Out,Out,Uit,Yes
I18N_OVERALL_3PLUS1PERFORMANCE,I18NCode for Overall 3+1 Performance,3+1,3+1,Yes
I18N_OVERALL_RETENTION,I18NCode for Overall Retention,Overall,Algemeen,Yes
I18N_P,I18NCode for P,P,P,Yes
I18N_PAGE,I18NCode for Page Label in Datatable Pdf Export,Page,Pagina,Yes
I18N_PARENT_MENU,I18NCode for Parent Menu,Parent Menu,Oudermenu,Yes
I18N_PARENT_MENU_OPTION,I18NCode for Parent Menu Option,Parent Menu Option,Oudermenu-optie,Yes
I18N_PASSWORD,i18NCode for Password,Password,Wachtwoord,Yes
I18N_PASSWORD_CHANGED_SUCCESSFULLY_,I18NCode for Password Changed Successfully!,Password Changed Successfully!,Wachtwoord succesvol gewijzigd!,Yes
I18N_PASSWORD_IS_REQUIRED,I18NCode for Password is Required,Password is required,Wachtwoord is vereist,Yes
I18N_PASSWORD_MUST_BE_AT_LEAST_8_CHARACTERS_,I18NCode for Password Must Be At Least 8 Characters ,Password must be at leat 8 caracters,Wachtwoord moet minimaal 8 tekens lang zijn,Yes
I18N_PASSWORDS_DO_NOT_MATCH,I18NCode for Passwords Do Not Match,Passwords do not match,Wachtwoorden komen niet overeen,Yes
I18N_PER_CHAPTER,I18NCode for Per Chapter,Per Chapter,Per hoofdstuk,Yes
I18N_PERF_INDEX,I18NCode for Market Perf.Index,Perf. Index,Perf.,Yes
I18N_PERFOMANCE,I18NCode for Franchise Perfomance,Performance,Prestatie,Yes
I18N_PERFORM_COMPLETE_MANAGEMENT_OF_YOUR,I18NCode for Perform complete management of your,Perform complete management of yours,Voer het volledige beheer van uw beheer uit,Yes
I18N_PERIODICITY,I18NCode for Periodicity,Periodicity,Periodiciteit,Yes
I18N_PHONE,I18NCode for Phone,Phone,Telefoon,Yes
I18N_PICK_RANGE_OF_DATE,I18NCode for Pick the Range of Dates for date picker label,Pick the Range of Dates,Kies het datumbereik,Yes
I18N_PLACE,I18NCode for Place,Place,Plaats,Yes
I18N_PLEASE_CHECK_YOUR_INBOX,I18NCode for Please Check Your Inbox,Please check your inbox,Controleer uw inbox,Yes
I18N_PLEASE_REQUEST_A_NEW_ACTIVATION_EMAIL,I18NCode for Please Request A New Activation Email,Please request a new activation email,Vraag een nieuwe activatie-e-mail aan,Yes
I18N_PLEASE_WAIT,I18NCode for Please Wait,Please wait,Wacht alstublieft,Yes
I18N_PLEASE_WAIT_WHILE_WE_VALIDATE_YOUR_TOKEN,i18NCode for Please Wait While We Validate Your Token,Please wait while we validade your token,Een ogenblik geduld terwijl we uw token valideren,Yes
I18N_POINTS,I18NCode for Points,Points,Punten,Yes
I18N_POLL_OPTIONS,I18NCode for Poll Options,Poll options,Poll-opties,Yes
I18N_POSSIBLE_RENEWALS,I18NCode for Possible Renewals in graphic,Possible Renewals,Mogelijke verlengingen,Yes
I18N_PREVIOUS_MONTH,I18NCode for Previous Month,Previous Month,Vorige maand,Yes
I18N_PRIMARY_CONTACT_DETAILS,I18NCode for Primary Contact Details,Primary contact details,Primaire contactgegevens,Yes
I18N_PRIORITY,I18NCode for Priority,Priority,Prioriteit,Yes
I18N_PRIVACY_POLICY,I18NCode for Privacy Policy,Privacy Policy,Privacybeleid,Yes
I18N_PRIVACY_POLICY_INTRO,i18NCode for Privacy Policy Intro,"For us at <strong>DeepEye</strong>, protecting your privacy is of utmost importance. We take data protection seriously and make an active effort to attend all of our obligations and to guarantee your rights. In this privacy policy, we explain who we are and how we accomplish that.",Voor ons bij <strong>DeepEye</strong> is het beschermen van uw privacy van het allergrootste belang.,Yes
I18N_PRIVATE,I18NCode for private,Private,Privé,Yes
I18N_PRIVATE_CHAT,I18NCode for Private Chat,Private Chat,Privéchat,Yes
I18N_PRIVATE_CONVERSATIONS_ONLY,I18NCode for Private conversations only,Private conversations only,Alleen privégesprekken,Yes
I18N_PROBABLE_RENEWALS,I18NCode for Probable Renewals in graphic,Probable Renewals,Waarschijnlijke verlengingen,Yes
I18N_PROCESSING_YOUR_REQUEST,I18NCode for Processing Your Request,Processing your request,Het verwerken van uw aanvraag,Yes
I18N_PROFESSION,I18NCode for hidden row in Upcoming Renewels Page,Profession,Beroep,Yes
I18N_PROFILE,I18NCode for Profile,Profile,Profiel,Yes
I18N_PROFILE_DESCRIPTION,I18NCode for Profile Descriptions,Profile Description,Profielbeschrijving,Yes
I18N_PROFILE_DETAIL_PAGE,I18NCode for Profile detail page,Profile Detail Page,Profieldetailpagina,Yes
I18N_PROFILE_DETAILS,I18NCode for Profile Details,Profile Details,Profieldetails,Yes
I18N_PROFILE_NAME,I18NCode for Profile Name,Profile Name,Profielnaam,Yes
I18N_PROFILES,I18NCode for Profiles Menu,Profiles,Profielen,Yes
I18N_PROGRESS,I18NCode for Progress,Progress,Voortgang,Yes
I18N_PROMOTE_TO_ADMIN,I18NCode for Promote to admin,Promote to admin,Promoten tot beheerder,Yes
I18N_PTS,I18NCode for Pts,Pts,Ptn,Yes
I18N_QUARTER,I18NCode for Quarter,Quarter,Kwartaal,Yes
I18N_QUESTION,I18NCode for Question,Question,Vraag,Yes
I18N_QUICK_STATS,I18NCode for Quick Stats,Quick stats,Snelle statistieken,Yes
I18N_R2Y_ADMINISTRATOR,I18NCodes for R2Y Administrator,R2Y Administrator,R2Y-beheerder,Yes
I18N_REASON,I18NCode for Reason,Reason,Reden,Yes
I18N_RECEIVE_EMAIL_ALERTS_WHEN_YOU_HAVE_MESSAGES,I18NCode for Receive email alerts when you have messages,Receive email alerts for messages,Ontvang e-mailwaarschuwingen voor berichten,Yes
I18N_RECEIVE_REPORTS,I18NCode for Receive Reports,Receive Reports,Ontvang rapporten,Yes
I18N_RECEIVED_IN_THE_LAST,I18NCode for Received in the last,Received in the last,Ontvangen in de laatste,Yes
I18N_RECEIVED_REFERRALS,I18NCode for Received Referrals Chart,Received Referrals,Ontvangen verwijzingen,Yes
I18N_RED,I18NCode for #Red on table label,#Red,#Rood,Yes
I18N_REF,I18NCode for Ref,Ref.,Ref.,Yes
I18N_REFERRALS,I18NCode for referrals,Referrals,Verwijzingen,Yes
I18N_REFERRALS_IS_REQUIRED,I18NCode for Referrals is required,Referrals is required,Verwijzingen zijn vereist,Yes
I18N_REFERREALS_THE_REGION,I18NCode for Referreals The Region,Referrals,Verwijzingen,Yes
I18N_REGION,I18NCode for Région,Region,Regio,Yes
I18N_REGION_AVG,I18NCode for region Avg,Region Avg,Regio Gem,Yes
I18N_REGION_DEVELOPMENT,I18NCode for Region Development,Region Development,Regio ontwikkeling,Yes
I18N_REGION_GOAL_EDIT,I18NCode for Region Goal Edit,Edit the Region Goal,Bewerk het regiodoel,Yes
I18N_REGION_GOAL_MENU,I18NCode for Region Menu for Goals,Region,Regio,Yes
I18N_REGION_ID_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Region ID cannot exceed 50 characters,Region ID cannot exceed 50 characters,Regio-ID mag niet langer zijn dan 50 tekens,Yes
I18N_REGION_ID_IS_REQUIRED,I18NCode for Region ID is required,Region ID is required,Regio-ID is vereist,Yes
I18N_REGION_LAST_MONTH,I18NCode for Region Last Month Page,Region Last Month,Regio Vorige Maand,Yes
I18N_REGION_RETENTION_GROWTH,I18NCode for Region Retention Growth Page Title,Retention Growth,Retentiegroei,Yes
I18N_REGION_SCHEDULES,I18NCode for Region Schedules Title Page,Scheduled Operations,Geplande operaties,Yes
I18N_REGION_SETUP,I18NCode for Region Setup,Region Setup,Regio-instelling,Yes
I18N_REGION_SIZE,I18NCode for Region Size ,Region Size,Regiogrootte,Yes
I18N_REGIONAL,I18NCode for Regional,Regional,Regionaal,Yes
I18N_REGIONAL_ADMINISTRATION,I18NCode for Regional Administration,Regional Administration,Regionaal Bestuur,Yes
I18N_REGIONAL_COUNT,I18NCode for Regional Count,Regional Count,Regionale graaf,Yes
I18N_REGIONAL_COUNT_CONTACT_SPHERE,i18NCode for Regional Count Contact Sphere,Regional Count Contact Sphere,Regionale telling contactbol,Yes
I18N_REGIONAL_INFORMATION,I18NCode for regional information,Regional information,Regionale informatie,Yes
I18N_REGIONAL_OPTION,I18NCode for Regional Option,Regional Option,Regionale optie,Yes
I18N_REGIONS,Region,Regions,Regio's,Yes
I18N_REGIONS__CHAPTERS__MEMBERS__AND_TEAMS,"I18NCode for Regions, Chapters, Members, and Teams","Regions, Chapters, Members and Teams","Regio's, hoofdstukken, leden en teams",Yes
I18N_REGIONS_EVOLUTION,I18nCode for Regions Evolution,Regions Evolution,Evolutie van regio's,Yes
I18N_REGIONS_SUBSTITLE,I18NCode for Regions,Regions,Regio's,Yes
I18N_REGISTER,I18NCode for Register ,Register,Register,Yes
I18N_REGISTER_NEW_USER,I18NCode for Register New User,Register New User,Registreer nieuwe gebruiker,Yes
I18N_REGISTER_ONLY_FOR_R2Y_USERS,I18NCode for Register Only For R2Y Users,This register is only for Reporting2You users,Dit register is alleen bedoeld voor gebruikers van Reporting2You,Yes
I18N_RELOAD_CHART,I18NCode for the Reload Chart Button,Reload Chart,Grafiek opnieuw laden,Yes
I18N_REMOVE_CONFIRMATION_BUTTON,I18NCode for Remove confirmation Button,"Yes, remove it!","Ja, verwijder het!",Yes
I18N_REMOVE_FROM_THE_GROUP,I18NCode for Remove from the group,Remove from the group,Verwijder uit de groep,Yes
I18N_REMOVE_IMAGE,I18NCode for Remove image,Remove image,Afbeelding verwijderen,Yes
I18N_RENEW,I18NCode for Renew,Renew at,Verlengen op,Yes
I18N_RENEW_ABREVIATION,I18NCode for Renew Abreviation,Renew,Vernieuwen,Yes
I18N_RENEW_SINGULAR,I18NCode for Renew word in singular,Renew,Vernieuwen,Yes
I18N_RENEWALS,I18NCode for Renewals,Renewals,Verlengingen,Yes
I18N_RENEWALS_IS_REQUIRED,I18NCode for Renewals is required,Renewals is required,Verlengingen zijn vereist,Yes
I18N_RENEWS,I18NCode for Renews,Renew,Vernieuwen,Yes
I18N_REPORT,I18NCode for Report,Report,Rapport,Yes
I18N_REPORT_DATE,I18NCode for Report Date in Datatables Pdf Export,Report date,Rapportdatum,Yes
I18N_REPORT_NAME,I18NCode for Report Name,Report Name,Rapportnaam,Yes
I18N_REPORTS,I18NCode for Reports,Reports,Rapporten,Yes
I18N_REQUEST_NEW_TOKEN,I18NCode for Request New Token,Request New Token,Vraag een nieuw token aan,Yes
